CONSTITUENCY,STATE
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
AMALAPURAM,ANDHRA PRADESH
ANAKAPALLE,ANDHRA PRADESH
ANANTAPUR,ANDHRA PRADESH
ARAKU,ANDHRA PRADESH
BAPATLA,ANDHRA PRADESH
CHITTOOR,ANDHRA PRADESH
ELURU,ANDHRA PRADESH
GUNTUR,ANDHRA PRADESH
HINDUPUR,ANDHRA PRADESH
KADAPA,ANDHRA PRADESH
KAKINADA,ANDHRA PRADESH
KURNOOL,ANDHRA PRADESH
MACHILIPATNAM,ANDHRA PRADESH
NANDYAL,ANDHRA PRADESH
NARASARAOPET,ANDHRA PRADESH
NARSAPURAM,ANDHRA PRADESH
NELLORE,ANDHRA PRADESH
ONGOLE,ANDHRA PRADESH
RAJAHMUNDRY,ANDHRA PRADESH
RAJAMPET,ANDHRA PRADESH
SRIKAKULAM,ANDHRA PRADESH
TIRUPATI,ANDHRA PRADESH
VIJAYAWADA,ANDHRA PRADESH
VISAKHAPATNAM,ANDHRA PRADESH
VIZIANAGARAM,ANDHRA PRADESH
ARUNACHAL EAST,ARUNACHAL PRADESH
ARUNACHAL WEST,ARUNACHAL PRADESH
AUTONOMOUS DISTRICT,ASSAM
BARPETA,ASSAM
DHUBRI,ASSAM
DIBRUGARH,ASSAM
GAUHATI,ASSAM
JORHAT,ASSAM
KALIABOR,ASSAM
KARIMGANJ,ASSAM
KOKRAJHAR,ASSAM
LAKHIMPUR,ASSAM
MANGALDOI,ASSAM
NAWGONG,ASSAM
SILCHAR,ASSAM
TEZPUR,ASSAM
ARARIA,BIHAR
AURANGABAD,BIHAR
BANKA,BIHAR
BEGUSARAI,BIHAR
BHAGALPUR,BIHAR
DARBHANGA,BIHAR
GAYA,BIHAR
GOPALGANJ,BIHAR
HAJIPUR,BIHAR
JAMUI,BIHAR
JHANJHARPUR,BIHAR
KATIHAR,BIHAR
KHAGARIA,BIHAR
KISHANGANJ,BIHAR
MADHEPURA,BIHAR
MADHUBANI,BIHAR
MAHARAJGANJ,BIHAR
MUNGER,BIHAR
MUZAFFARPUR,BIHAR
NAWADA,BIHAR
PASCHIM CHAMPARAN,BIHAR
PURNIA,BIHAR
PURVI CHAMPARAN,BIHAR
SAMASTIPUR,BIHAR
SARAN,BIHAR
SHEOHAR,BIHAR
SITAMARHI,BIHAR
SIWAN,BIHAR
SUPAUL,BIHAR
UJIARPUR,BIHAR
VAISHALI,BIHAR
VALMIKI NAGAR,BIHAR
BASTAR,CHHATTISGARH
BILASPUR,CHHATTISGARH
DURG,CHHATTISGARH
JANJGIR CHAMPA,CHHATTISGARH
KANKER,CHHATTISGARH
KORBA,CHHATTISGARH
MAHASAMUND,CHHATTISGARH
RAIGARH,CHHATTISGARH
RAIPUR,CHHATTISGARH
RAJNANDGAON,CHHATTISGARH
SURGUJA,CHHATTISGARH
DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI
DAMAN AND DIU,DAMAN AND DIU
NORTH GOA,GOA
SOUTH GOA,GOA
AHMEDABAD EAST,GUJARAT
AHMEDABAD WEST,GUJARAT
AMRELI,GUJARAT
ANAND,GUJARAT
BANASKANTHA,GUJARAT
BARDOLI,GUJARAT
BHARUCH,GUJARAT
BHAVNAGAR,GUJARAT
CHHOTA UDAIPUR,GUJARAT
DAHOD,GUJARAT
GANDHINAGAR,GUJARAT
JAMNAGAR,GUJARAT
JUNAGADH,GUJARAT
KACHCHH,GUJARAT
KHEDA,GUJARAT
MAHESANA,GUJARAT
NAVSARI,GUJARAT
PANCHMAHAL,GUJARAT
PATAN,GUJARAT
PORBANDAR,GUJARAT
RAJKOT,GUJARAT
SABARKANTHA,GUJARAT
SURAT,GUJARAT
SURENDRANAGAR,GUJARAT
VADODARA,GUJARAT
VALSAD,GUJARAT
AMBALA,HARYANA
BHIWANI MAHENDRAGARH,HARYANA
FARIDABAD,HARYANA
GURGAON,HARYANA
HISAR,HARYANA
KARNAL,HARYANA
KURUKSETRA,HARYANA
KURUKSHETRA,HARYANA
ROHTAK,HARYANA
SIRSA,HARYANA
SONIPAT,HARYANA
CHATRA,JHARKHAND
DHANBAD,JHARKHAND
GIRIDIH,JHARKHAND
HAZARIBAGH,JHARKHAND
JAMSHEDPUR,JHARKHAND
KHUNTI,JHARKHAND
KODARMA,JHARKHAND
LOHARDAGA,JHARKHAND
PALAMU,JHARKHAND
RANCHI,JHARKHAND
SINGHBHUM,JHARKHAND
BAGALKOT,KARNATAKA
BANGALORE CENTRAL,KARNATAKA
BANGALORE NORTH,KARNATAKA
BANGALORE RURAL,KARNATAKA
BANGALORE SOUTH,KARNATAKA
BELGAUM,KARNATAKA
BELLARY,KARNATAKA
BIDAR,KARNATAKA
BIJAPUR,KARNATAKA
CHAMARAJANAGAR,KARNATAKA
CHIKKBALLAPUR,KARNATAKA
CHIKKODI,KARNATAKA
CHITRADURGA,KARNATAKA
DAKSHINA KANNADA,KARNATAKA
DAVANAGERE,KARNATAKA
DHARWAD,KARNATAKA
GULBARGA,KARNATAKA
HASSAN,KARNATAKA
HAVERI,KARNATAKA
KOLAR,KARNATAKA
KOPPAL,KARNATAKA
MANDYA,KARNATAKA
MYSORE,KARNATAKA
RAICHUR,KARNATAKA
SHIMOGA,KARNATAKA
TUMKUR,KARNATAKA
UDUPI CHIKMAGALUR,KARNATAKA
UTTARA KANNADA,KARNATAKA
ALAPPUZHA,KERALA
ALATHUR,KERALA
ATTINGAL,KERALA
CHALAKUDY,KERALA
ERNAKULAM,KERALA
IDUKKI,KERALA
KANNUR,KERALA
KASARAGOD,KERALA
KOLLAM,KERALA
KOTTAYAM,KERALA
KOZHIKODE,KERALA
MALAPPURAM,KERALA
MAVELIKKARA,KERALA
PALAKKAD,KERALA
PATHANAMTHITTA,KERALA
PONNANI,KERALA
THIRUVANANTHAPURAM,KERALA
THRISSUR,KERALA
VADAKARA,KERALA
WAYANAD,KERALA
LAKSHADWEEP,LAKSHADWEEP
BALAGHAT,MADHYA PRADESH
BETUL,MADHYA PRADESH
BHIND,MADHYA PRADESH
BHOPAL,MADHYA PRADESH
CHHINDWARA,MADHYA PRADESH
DAMOH,MADHYA PRADESH
GUNA,MADHYA PRADESH
GWALIOR,MADHYA PRADESH
HOSHANGABAD,MADHYA PRADESH
JABALPUR,MADHYA PRADESH
KHAJURAHO,MADHYA PRADESH
MANDLA,MADHYA PRADESH
MORENA,MADHYA PRADESH
RAJGARH,MADHYA PRADESH
REWA,MADHYA PRADESH
SAGAR,MADHYA PRADESH
SATNA,MADHYA PRADESH
SHAHDOL,MADHYA PRADESH
SIDHI,MADHYA PRADESH
TIKAMGARH,MADHYA PRADESH
VIDISHA,MADHYA PRADESH
AHMEDNAGAR,MAHARASHTRA
AKOLA,MAHARASHTRA
AMRAVATI,MAHARASHTRA
AURANGABAD,MAHARASHTRA
BARAMATI,MAHARASHTRA
BEED,MAHARASHTRA
BHANDARA GONDIYA,MAHARASHTRA
BHIWANDI,MAHARASHTRA
BULDHANA,MAHARASHTRA
CHANDRAPUR,MAHARASHTRA
DHULE,MAHARASHTRA
DINDORI,MAHARASHTRA
GADCHIROLI CHIMUR,MAHARASHTRA
HATKANANGLE,MAHARASHTRA
HINGOLI,MAHARASHTRA
JALGAON,MAHARASHTRA
JALNA,MAHARASHTRA
KALYAN,MAHARASHTRA
KOLHAPUR,MAHARASHTRA
LATUR,MAHARASHTRA
MADHA,MAHARASHTRA
MAVAL,MAHARASHTRA
MUMBAI NORTH,MAHARASHTRA
MUMBAI NORTH CENTRAL,MAHARASHTRA
MUMBAI NORTH EAST,MAHARASHTRA
MUMBAI NORTH WEST,MAHARASHTRA
MUMBAI SOUTH,MAHARASHTRA
MUMBAI SOUTH CENTRAL,MAHARASHTRA
NAGPUR,MAHARASHTRA
NANDED,MAHARASHTRA
NANDURBAR,MAHARASHTRA
NASHIK,MAHARASHTRA
OSMANABAD,MAHARASHTRA
PALGHAR,MAHARASHTRA
PARBHANI,MAHARASHTRA
PUNE,MAHARASHTRA
RAIGAD,MAHARASHTRA
RAMTEK,MAHARASHTRA
RATNAGIRI SINDHUDURG,MAHARASHTRA
RAVER,MAHARASHTRA
SANGLI,MAHARASHTRA
SATARA,MAHARASHTRA
SHIRDI,MAHARASHTRA
SHIRUR,MAHARASHTRA
SOLAPUR,MAHARASHTRA
THANE,MAHARASHTRA
WARDHA,MAHARASHTRA
YAVATMAL WASHIM,MAHARASHTRA
INNER MANIPUR,MANIPUR
OUTER MANIPUR,MANIPUR
SHILLONG,MEGHALAYA
TURA,MEGHALAYA
MIZORAM,MIZORAM
NAGALAND,NAGALAND
CHANDNI CHOWK,NATIONAL CAPITAL TERRITORY OF DELHI
EAST DELHI,NATIONAL CAPITAL TERRITORY OF DELHI
NEW DELHI,NATIONAL CAPITAL TERRITORY OF DELHI
NORTH EAST DELHI,NATIONAL CAPITAL TERRITORY OF DELHI
NORTH WEST DELHI,NATIONAL CAPITAL TERRITORY OF DELHI
SOUTH DELHI,NATIONAL CAPITAL TERRITORY OF DELHI
WEST DELHI,NATIONAL CAPITAL TERRITORY OF DELHI
ASKA,ODISHA
BALASORE,ODISHA
BARGARH,ODISHA
BERHAMPUR,ODISHA
BHADRAK,ODISHA
BHUBANESWAR,ODISHA
BOLANGIR,ODISHA
CUTTACK,ODISHA
DHENKANAL,ODISHA
JAGATSINGHPUR,ODISHA
JAJPUR,ODISHA
KALAHANDI,ODISHA
KANDHAMAL,ODISHA
KENDRAPARA,ODISHA
KEONJHAR,ODISHA
KORAPUT,ODISHA
MAYURBHANJ,ODISHA
NABARANGPUR,ODISHA
PURI,ODISHA
SAMBALPUR,ODISHA
SUNDARGARH,ODISHA
PUDUCHERRY,PUDUCHERRY
SIKKIM,SIKKIM
AJMER,RAJASTHAN
ALWAR,RAJASTHAN
BANSWARA,RAJASTHAN
BARMER,RAJASTHAN
BHARATPUR,RAJASTHAN
BHILWARA,RAJASTHAN
BIKANER,RAJASTHAN
CHITTORGARH,RAJASTHAN
CHURU,RAJASTHAN
DAUSA,RAJASTHAN
GANGANAGAR,RAJASTHAN
JAIPUR,RAJASTHAN
JAIPUR RURAL,RAJASTHAN
JALORE,RAJASTHAN
JHALAWAR BARAN,RAJASTHAN
JHUNJHUNU,RAJASTHAN
JODHPUR,RAJASTHAN
KARAULI DHOLPUR,RAJASTHAN
KOTA,RAJASTHAN
NAGAUR,RAJASTHAN
PALI,RAJASTHAN
RAJSAMAND,RAJASTHAN
SIKAR,RAJASTHAN
TONK SAWAI MADHOPUR,RAJASTHAN
UDAIPUR,RAJASTHAN
ARAKKONAM,TAMIL NADU
ARANI,TAMIL NADU
CHENNAI CENTRAL,TAMIL NADU
CHENNAI NORTH,TAMIL NADU
CHENNAI SOUTH,TAMIL NADU
CHIDAMBARAM,TAMIL NADU
COIMBATORE,TAMIL NADU
CUDDALORE,TAMIL NADU
DHARMAPURI,TAMIL NADU
DINDIGUL,TAMIL NADU
ERODE,TAMIL NADU
KALLAKURICHI,TAMIL NADU
KANCHEEPURAM,TAMIL NADU
KANNIYAKUMARI,TAMIL NADU
KARUR,TAMIL NADU
KRISHNAGIRI,TAMIL NADU
MADURAI,TAMIL NADU
MAYILADUTHURAI,TAMIL NADU
NAGAPATTINAM,TAMIL NADU
NAMAKKAL,TAMIL NADU
NILGIRIS,TAMIL NADU
PERAMBALUR,TAMIL NADU
POLLACHI,TAMIL NADU
RAMANATHAPURAM,TAMIL NADU
SALEM,TAMIL NADU
SIVAGANGA,TAMIL NADU
SRIPERUMBUDUR,TAMIL NADU
TENKASI,TAMIL NADU
THANJAVUR,TAMIL NADU
THENI,TAMIL NADU
THOOTHUKKUDI,TAMIL NADU
TIRUCHIRAPPALLI,TAMIL NADU
TIRUNELVELI,TAMIL NADU
TIRUPPUR,TAMIL NADU
TIRUVALLUR,TAMIL NADU
TIRUVANNAMALAI,TAMIL NADU
VELLORE,TAMIL NADU
VILUPPURAM,TAMIL NADU
VIRUDHUNAGAR,TAMIL NADU
ADILABAD,TELANGANA
BHONGIR,TELANGANA
CHEVELLA,TELANGANA
HYDERABAD,TELANGANA
KARIMNAGAR,TELANGANA
KHAMMAM,TELANGANA
MAHABUBABAD,TELANGANA
MAHBUBNAGAR,TELANGANA
MALKAJGIRI,TELANGANA
MEDAK,TELANGANA
NAGARKURNOOL,TELANGANA
NALGONDA,TELANGANA
NIZAMABAD,TELANGANA
PEDDAPALLE,TELANGANA
SECUNDERABAD,TELANGANA
WARANGAL,TELANGANA
ZAHIRABAD,TELANGANA
TRIPURA EAST,TRIPURA
TRIPURA WEST,TRIPURA
AGRA,UTTAR PRADESH
AKBARPUR,UTTAR PRADESH
ALIGARH,UTTAR PRADESH
ALLAHABAD,UTTAR PRADESH
AMBEDKAR NAGAR,UTTAR PRADESH
AMETHI,UTTAR PRADESH
AMROHA,UTTAR PRADESH
AONLA,UTTAR PRADESH
AZAMGARH,UTTAR PRADESH
BADAUN,UTTAR PRADESH
BAGHPAT,UTTAR PRADESH
BAHRAICH,UTTAR PRADESH
BANDA,UTTAR PRADESH
BARABANKI,UTTAR PRADESH
BAREILLY,UTTAR PRADESH
BASTI,UTTAR PRADESH
BHADOHI,UTTAR PRADESH
BIJNOR,UTTAR PRADESH
BULANDSHAHR,UTTAR PRADESH
DHAURAHRA,UTTAR PRADESH
DOMARIYAGANJ,UTTAR PRADESH
ETAH,UTTAR PRADESH
ETAWAH,UTTAR PRADESH
FAIZABAD,UTTAR PRADESH
FARRUKHABAD,UTTAR PRADESH
FATEHPUR,UTTAR PRADESH
FATEHPUR SIKRI,UTTAR PRADESH
FIROZABAD,UTTAR PRADESH
GAUTAM BUDDHA NAGAR,UTTAR PRADESH
GHAZIABAD,UTTAR PRADESH
GONDA,UTTAR PRADESH
HAMIRPUR,UTTAR PRADESH
HARDOI,UTTAR PRADESH
HATHRAS,UTTAR PRADESH
JALAUN,UTTAR PRADESH
JAUNPUR,UTTAR PRADESH
JHANSI,UTTAR PRADESH
KAIRANA,UTTAR PRADESH
KAISERGANJ,UTTAR PRADESH
KANNAUJ,UTTAR PRADESH
KANPUR,UTTAR PRADESH
KAUSHAMBI,UTTAR PRADESH
KHERI,UTTAR PRADESH
LALGANJ,UTTAR PRADESH
LUCKNOW,UTTAR PRADESH
MACHHLISHAHR,UTTAR PRADESH
MAINPURI,UTTAR PRADESH
MATHURA,UTTAR PRADESH
MEERUT,UTTAR PRADESH
MISRIKH,UTTAR PRADESH
MOHANLALGANJ,UTTAR PRADESH
MORADABAD,UTTAR PRADESH
MUZAFFARNAGAR,UTTAR PRADESH
NAGINA,UTTAR PRADESH
PHULPUR,UTTAR PRADESH
PILIBHIT,UTTAR PRADESH
PRATAPGARH,UTTAR PRADESH
RAE BARELI,UTTAR PRADESH
RAMPUR,UTTAR PRADESH
SAHARANPUR,UTTAR PRADESH
SAMBHAL,UTTAR PRADESH
SANT KABIR NAGAR,UTTAR PRADESH
SHAHJAHANPUR,UTTAR PRADESH
SHRAWASTI,UTTAR PRADESH
SITAPUR,UTTAR PRADESH
SULTANPUR,UTTAR PRADESH
UNNAO,UTTAR PRADESH
ALMORA,UTTARAKHAND
GARHWAL,UTTARAKHAND
HARIDWAR,UTTARAKHAND
NAINITAL-UDHAMSINGH NAGAR,UTTARAKHAND
TEHRI GARHWAL,UTTARAKHAND
ALIPURDUARS,WEST BENGAL
ARAMBAG,WEST BENGAL
ASANSOL,WEST BENGAL
BAHARAMPUR,WEST BENGAL
BALURGHAT,WEST BENGAL
BANGAON,WEST BENGAL
BANKURA,WEST BENGAL
BARDHAMAN DURGAPUR,WEST BENGAL
BARDHAMAN PURBA,WEST BENGAL
BARRACKPUR,WEST BENGAL
BIRBHUM,WEST BENGAL
BISHNUPUR,WEST BENGAL
BOLPUR,WEST BENGAL
COOCH BEHAR,WEST BENGAL
DARJEELING,WEST BENGAL
GHATAL,WEST BENGAL
HOOGHLY,WEST BENGAL
HOWRAH,WEST BENGAL
JALPAIGURI,WEST BENGAL
JANGIPUR,WEST BENGAL
JHARGRAM,WEST BENGAL
KANTHI,WEST BENGAL
KRISHNANAGAR,WEST BENGAL
MALDAHA DAKSHIN,WEST BENGAL
MALDAHA UTTAR,WEST BENGAL
MEDINIPUR,WEST BENGAL
MURSHIDABAD,WEST BENGAL
PURULIA,WEST BENGAL
RAIGANJ,WEST BENGAL
RANAGHAT,WEST BENGAL
SREERAMPUR,WEST BENGAL
TAMLUK,WEST BENGAL
ULUBERIA,WEST BENGAL
ANANTNAG,JAMMU AND KASHMIR
BARAMULLA,JAMMU AND KASHMIR
JAMMU,JAMMU AND KASHMIR
LADAKH,JAMMU AND KASHMIR
SRINAGAR,JAMMU AND KASHMIR
UDHAMPUR,JAMMU AND KASHMIR
KARAKAT,BIHAR
PATNA SAHIB,BIHAR
BUXAR,BIHAR
NALANDA,BIHAR
ARRAH,BIHAR
JAHANABAD,BIHAR
SASARAM,BIHAR
PATALIPUTRA,BIHAR
CHANDIGARH,CHANDIGARH
HAMIRPUR,HIMACHAL PRADESH
MANDI,HIMACHAL PRADESH
KANGRA,HIMACHAL PRADESH
SHIMLA,HIMACHAL PRADESH
GODDA,JHARKHAND
DUMKA,JHARKHAND
RAJMAHAL,JHARKHAND
KHANDWA,MADHYA PRADESH
MANDSOUR,MADHYA PRADESH
INDORE,MADHYA PRADESH
UJJAIN,MADHYA PRADESH
KHARGONE,MADHYA PRADESH
DEWAS,MADHYA PRADESH
DHAR,MADHYA PRADESH
RATLAM,MADHYA PRADESH
FATEHGARH SAHIB,PUNJAB
PATIALA,PUNJAB
FARIDKOT,PUNJAB
GURDASPUR,PUNJAB
SANGRUR,PUNJAB
BATHINDA,PUNJAB
JALANDHAR,PUNJAB
ANANDPUR SAHIB,PUNJAB
LUDHIANA,PUNJAB
SANGRUR,PUNJAB
AMRITSAR,PUNJAB
FIROZPUR,PUNJAB
HOSHIARPUR,PUNJAB
KHADOOR SAHIB,PUNJAB
VARANASI,UTTAR PRADESH
GORAKHPUR,UTTAR PRADESH
GHOSI,UTTAR PRADESH
MIRZAPUR,UTTAR PRADESH
GHAZIPUR,UTTAR PRADESH
SALEMPUR,UTTAR PRADESH
KUSHI NAGAR,UTTAR PRADESH
ROBERTSGANJ,UTTAR PRADESH
CHANDAULI,UTTAR PRADESH
BALLIA,UTTAR PRADESH
DEORIA,UTTAR PRADESH
BANSGAON,UTTAR PRADESH
BASIRHAT,WEST BENGAL
DIAMOND HARBOUR,WEST BENGAL
DUM DUM,WEST BENGAL
MATHURAPUR,WEST BENGAL
KOLKATA UTTAR,WEST BENGAL
JADAVPUR,WEST BENGAL
JAYNAGAR,WEST BENGAL
KOLKATA DAKSHIN,WEST BENGAL
BARASAT,WEST BENGAL